datetime,price,signal
2023-05-09 04:00:00,170.5,sell
2023-05-09 04:05:00,170.38,sell
2023-05-09 04:10:00,169.91,sell
2023-05-09 04:15:00,169.76,sell
2023-05-09 04:20:00,169.67,sell
2023-05-09 04:25:00,169.4,sell
2023-05-09 04:30:00,169.78,sell
2023-05-09 04:35:00,169.85,sell
2023-05-09 04:40:00,169.7,sell
2023-05-09 04:45:00,169.61,sell
2023-05-09 04:50:00,169.86,sell
2023-05-09 04:55:00,169.81,sell
2023-05-09 05:00:00,169.84,sell
2023-05-09 05:05:00,169.8,sell
2023-05-09 05:10:00,169.82,sell
2023-05-09 05:15:00,169.75,sell
2023-05-09 05:20:00,169.6,sell
2023-05-09 05:25:00,169.8,sell
2023-05-09 05:30:00,169.85,sell
2023-05-09 05:35:00,169.85,sell
2023-05-09 05:40:00,169.8,sell
2023-05-09 05:45:00,169.79,sell
2023-05-09 05:50:00,169.68,sell
2023-05-09 05:55:00,170.07,sell
2023-05-09 06:00:00,170.15,sell
2023-05-09 06:05:00,170.23,sell
2023-05-09 06:10:00,170.11,sell
2023-05-09 06:15:00,169.85,sell
2023-05-09 06:20:00,170.1,sell
2023-05-09 06:25:00,169.92,sell
2023-05-09 06:30:00,169.92,sell
2023-05-09 06:35:00,170.04,sell
2023-05-09 06:40:00,169.86,sell
2023-05-09 06:45:00,169.95,sell
2023-05-09 06:50:00,170.2,sell
2023-05-09 06:55:00,170.21,sell
2023-05-09 07:00:00,170.0,sell
2023-05-09 07:05:00,170.1,sell
2023-05-09 07:10:00,170.17,sell
2023-05-09 07:15:00,169.96,sell
2023-05-09 07:20:00,169.87,sell
2023-05-09 07:25:00,169.75,sell
2023-05-09 07:30:00,169.68,sell
2023-05-09 07:35:00,169.77,sell
2023-05-09 07:40:00,169.91,sell
2023-05-09 07:45:00,169.95,sell
2023-05-09 07:50:00,169.86,sell
2023-05-09 07:55:00,169.9,sell
2023-05-09 08:00:00,170.18,sell
2023-05-09 08:05:00,170.06,sell
2023-05-09 08:10:00,170.36,sell
2023-05-09 08:15:00,170.16,sell
2023-05-09 08:20:00,169.99,sell
2023-05-09 08:25:00,170.1,sell
2023-05-09 08:30:00,170.15,sell
2023-05-09 08:35:00,169.89,sell
2023-05-09 08:40:00,169.86,sell
2023-05-09 08:45:00,169.91,sell
2023-05-09 08:50:00,169.9,sell
2023-05-09 08:55:00,169.88,sell
