datetime,price,signal
2023-06-06 11:40:00,219.88,
2023-06-06 11:45:00,220.29,
2023-06-06 11:50:00,220.67,
2023-06-06 11:55:00,220.1,
2023-06-06 12:00:00,220.87,
2023-06-06 12:05:00,220.58,
2023-06-06 12:10:00,220.14,
2023-06-06 12:15:00,220.76,
2023-06-06 12:20:00,220.38,
2023-06-06 12:25:00,220.76,
2023-06-06 12:30:00,220.34,
2023-06-06 12:35:00,219.4,
2023-06-06 12:40:00,219.39,
2023-06-06 12:45:00,218.33,
2023-06-06 12:50:00,218.65,
2023-06-06 12:55:00,217.9,
2023-06-06 13:00:00,218.7,
2023-06-06 13:05:00,218.95,
2023-06-06 13:10:00,219.65,
2023-06-06 13:15:00,219.6,
2023-06-06 13:20:00,219.86,
2023-06-06 13:25:00,219.8,
2023-06-06 13:30:00,219.99,
2023-06-06 13:35:00,220.19,
2023-06-06 13:40:00,220.1,
2023-06-06 13:45:00,219.95,
2023-06-06 13:50:00,219.44,
2023-06-06 13:55:00,219.57,
2023-06-06 14:00:00,219.84,
2023-06-06 14:05:00,219.77,
2023-06-06 14:10:00,220.39,
2023-06-06 14:15:00,220.0,
2023-06-06 14:20:00,220.22,
2023-06-06 14:25:00,220.31,
2023-06-06 14:30:00,219.98,
2023-06-06 14:35:00,220.09,
2023-06-06 14:40:00,220.25,
2023-06-06 14:45:00,220.23,
2023-06-06 14:50:00,219.93,
2023-06-06 14:55:00,220.44,
2023-06-06 15:00:00,220.28,
2023-06-06 15:05:00,220.43,
2023-06-06 15:10:00,220.1,
2023-06-06 15:15:00,219.42,
2023-06-06 15:20:00,219.95,
2023-06-06 15:25:00,219.94,
2023-06-06 15:30:00,220.0,
2023-06-06 15:35:00,219.54,
2023-06-06 15:40:00,219.75,
2023-06-06 15:45:00,219.72,
2023-06-06 15:50:00,220.05,
2023-06-06 15:55:00,221.29,
2023-06-06 16:00:00,221.49,
2023-06-06 16:05:00,221.76,
2023-06-06 16:10:00,221.66,
2023-06-06 16:15:00,221.85,
2023-06-06 16:20:00,222.11,
2023-06-06 16:25:00,223.5,
2023-06-06 16:30:00,223.9,
2023-06-06 16:35:00,223.5,
2023-06-06 16:40:00,223.6,
2023-06-06 16:45:00,223.42,
2023-06-06 16:50:00,223.31,
2023-06-06 16:55:00,223.78,
2023-06-06 17:00:00,223.66,
2023-06-06 17:05:00,223.83,
2023-06-06 17:10:00,224.14,
2023-06-06 17:15:00,223.8,
2023-06-06 17:20:00,224.02,
2023-06-06 17:25:00,224.48,
2023-06-06 17:30:00,224.71,
2023-06-06 17:35:00,224.79,
2023-06-06 17:40:00,224.7,
2023-06-06 17:45:00,224.72,
2023-06-06 17:50:00,224.9,
2023-06-06 17:55:00,225.25,
2023-06-06 18:00:00,225.47,
2023-06-06 18:05:00,225.1,
2023-06-06 18:10:00,224.97,
2023-06-06 18:15:00,225.0,
2023-06-06 18:20:00,225.12,
2023-06-06 18:25:00,224.83,
2023-06-06 18:30:00,224.86,
2023-06-06 18:35:00,224.9,
2023-06-06 18:40:00,224.95,
2023-06-06 18:45:00,224.94,
2023-06-06 18:50:00,225.1,
2023-06-06 18:55:00,225.16,
2023-06-06 19:00:00,225.19,
2023-06-06 19:05:00,225.24,
2023-06-06 19:10:00,225.22,
2023-06-06 19:15:00,225.25,
2023-06-06 19:20:00,225.03,
2023-06-06 19:25:00,225.11,
2023-06-06 19:30:00,225.1,
2023-06-06 19:35:00,225.15,
2023-06-06 19:40:00,225.02,
2023-06-06 19:45:00,225.2,
2023-06-06 19:50:00,225.22,
2023-06-06 19:55:00,225.07,
